city,indicator,value,year,lat,lon,district
Івано-Франківськ,Інформація про роботу ОМС,5.8,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Інформація про роботу ОМС,7.3,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Бюджетний процес,3.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Бюджетний процес,2.5,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Доступ та участь,9.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Доступ та участь,9.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Житлова політика,4.5,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Житлова політика,4.5,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Загальний бал,54.199999999999996,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Загальний бал,57.75,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Закупівлі,1.5,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Закупівлі,3.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Землекористування та будівельна політика,8.5,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Землекористування та будівельна політика,7.5,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Кадрові питання,3.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Кадрові питання,3.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Комунальне майно,2.4,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Комунальне майно,5.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Комунальні підприємства,4.5,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Комунальні підприємства,5.45,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Освіта,6.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Освіта,5.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Професійна етика та конфлікт інтересів,3.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Професійна етика та конфлікт інтересів,3.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,Соціальні послуги,1.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,Соціальні послуги,1.0,2018,48.92263300000001,24.711117,True
Івано-Франківськ,"Фінансова та матеріальна допомога, гранти",2.0,2017,48.92263300000001,24.711117,True
Івано-Франківськ,"Фінансова та матеріальна допомога, гранти",1.5,2018,48.92263300000001,24.711117,True
Ізмаїл,Інформація про роботу ОМС,4.9,2017,45.3501944,28.8501919,False
Ізмаїл,Інформація про роботу ОМС,5.2,2018,45.3501944,28.8501919,False
Ізмаїл,Бюджетний процес,0.83,2017,45.3501944,28.8501919,False
Ізмаїл,Бюджетний процес,0.0,2018,45.3501944,28.8501919,False
Ізмаїл,Доступ та участь,3.6,2017,45.3501944,28.8501919,False
Ізмаїл,Доступ та участь,4.0,2018,45.3501944,28.8501919,False
Ізмаїл,Житлова політика,0.0,2017,45.3501944,28.8501919,False
Ізмаїл,Житлова політика,0.0,2018,45.3501944,28.8501919,False
Ізмаїл,Загальний бал,20.589999999999996,2017,45.3501944,28.8501919,False
Ізмаїл,Загальний бал,24.200000000000003,2018,45.3501944,28.8501919,False
Ізмаїл,Закупівлі,1.5,2017,45.3501944,28.8501919,False
Ізмаїл,Закупівлі,1.5,2018,45.3501944,28.8501919,False
Ізмаїл,Землекористування та будівельна політика,1.0,2017,45.3501944,28.8501919,False
Ізмаїл,Землекористування та будівельна політика,1.3,2018,45.3501944,28.8501919,False
Ізмаїл,Кадрові питання,2.5,2017,45.3501944,28.8501919,False
Ізмаїл,Кадрові питання,3.0,2018,45.3501944,28.8501919,False
Ізмаїл,Комунальне майно,2.0,2017,45.3501944,28.8501919,False
Ізмаїл,Комунальне майно,1.6,2018,45.3501944,28.8501919,False
Ізмаїл,Комунальні підприємства,0.4,2017,45.3501944,28.8501919,False
Ізмаїл,Комунальні підприємства,1.6,2018,45.3501944,28.8501919,False
Ізмаїл,Освіта,0.5,2017,45.3501944,28.8501919,False
Ізмаїл,Освіта,4.0,2018,45.3501944,28.8501919,False
Ізмаїл,Професійна етика та конфлікт інтересів,2.16,2017,45.3501944,28.8501919,False
Ізмаїл,Професійна етика та конфлікт інтересів,2.0,2018,45.3501944,28.8501919,False
Ізмаїл,Соціальні послуги,0.2,2017,45.3501944,28.8501919,False
Ізмаїл,Соціальні послуги,0.0,2018,45.3501944,28.8501919,False
Ізмаїл,"Фінансова та матеріальна допомога, гранти",1.0,2017,45.3501944,28.8501919,False
Ізмаїл,"Фінансова та матеріальна допомога, гранти",0.0,2018,45.3501944,28.8501919,False
Ізюм,Інформація про роботу ОМС,3.0,2017,49.2121445,37.2665006,False
Ізюм,Інформація про роботу ОМС,4.2,2018,49.2121445,37.2665006,False
Ізюм,Бюджетний процес,1.16,2017,49.2121445,37.2665006,False
Ізюм,Бюджетний процес,3.0,2018,49.2121445,37.2665006,False
Ізюм,Доступ та участь,3.2,2017,49.2121445,37.2665006,False
Ізюм,Доступ та участь,6.0,2018,49.2121445,37.2665006,False
Ізюм,Житлова політика,0.0,2017,49.2121445,37.2665006,False
Ізюм,Житлова політика,0.0,2018,49.2121445,37.2665006,False
Ізюм,Загальний бал,21.089999999999996,2017,49.2121445,37.2665006,False
Ізюм,Загальний бал,31.2,2018,49.2121445,37.2665006,False
Ізюм,Закупівлі,0.5,2017,49.2121445,37.2665006,False
Ізюм,Закупівлі,1.0,2018,49.2121445,37.2665006,False
Ізюм,Землекористування та будівельна політика,2.0,2017,49.2121445,37.2665006,False
Ізюм,Землекористування та будівельна політика,2.0,2018,49.2121445,37.2665006,False
Ізюм,Кадрові питання,2.0,2017,49.2121445,37.2665006,False
Ізюм,Кадрові питання,2.0,2018,49.2121445,37.2665006,False
Ізюм,Комунальне майно,2.9,2017,49.2121445,37.2665006,False
Ізюм,Комунальне майно,5.0,2018,49.2121445,37.2665006,False
Ізюм,Комунальні підприємства,4.0,2017,49.2121445,37.2665006,False
Ізюм,Комунальні підприємства,5.0,2018,49.2121445,37.2665006,False
